@relation Results

@attribute Area numeric
@attribute X numeric
@attribute Y numeric
@attribute XM numeric
@attribute YM numeric
@attribute Major numeric
@attribute Minor numeric
@attribute Angle numeric
@attribute Circ numeric
@attribute IntDen numeric
@attribute RawIntDen numeric
@attribute Slice numeric
@attribute AR numeric
@attribute Round numeric
@attribute Solidity numeric
@attribute especie {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}

@data
71748,161425,121754,161425,121754,348136,262404,0662,0722,18295740,18295740,472,1327,0754,0934,10
71679,161715,121987,161715,121987,347994,262259,0946,0721,18278145,18278145,473,1327,0754,0933,10
70810,161234,121845,161234,121845,345553,26091,0276,0712,18056550,18056550,474,1324,0755,0922,10
71671,162091,121541,162091,121541,347525,262583,0709,0721,18276105,18276105,475,1323,0756,0933,10
71988,161507,120969,161507,120969,348192,26324,043,0724,18356940,18356940,476,1323,0756,0937,10
71500,161736,12086,161736,12086,346572,262677,0565,0719,18232500,18232500,477,1319,0758,0931,10
72085,160912,120887,160912,120887,349036,262957,0241,0725,18381675,18381675,478,1327,0753,0939,10
69520,161552,122068,161552,122068,342534,258414,0688,0699,17727600,17727600,479,1326,0754,0905,10
70115,162591,122234,162591,122234,343135,26017,101,0705,17879325,17879325,480,1319,0758,0913,10
69952,162281,122257,162281,122257,343084,259603,1032,0704,17837760,17837760,481,1322,0757,0911,10
70513,163364,122145,163364,122145,34428,260776,1047,0709,17980815,17980815,482,132,0757,0918,10
68051,163452,12165,163452,12165,336918,25717,1389,0685,17353005,17353005,483,131,0763,0886,10
70050,162766,120848,162766,120848,342821,260166,0565,0705,17862750,17862750,484,1318,0759,0912,10
71034,161878,121169,161878,121169,345317,261913,0428,0715,18113670,18113670,485,1318,0758,0925,10
68915,163085,12291,163085,12291,340058,25803,1201,0693,17573325,17573325,486,1318,0759,0897,10
70484,162326,121969,162326,121969,344236,260702,0987,0709,17973420,17973420,487,132,0757,0918,10
69702,161669,123428,161669,123428,343625,258268,0872,0701,17774010,17774010,488,133,0752,0908,10
69979,16046,122251,16046,122251,343778,259179,0012,0704,17844645,17844645,489,1326,0754,0911,10
69087,163147,121384,163147,121384,340012,258709,147,0695,17617185,17617185,490,1314,0761,09,10
68872,161522,121706,161522,121706,339619,258203,0865,0693,17562360,17562360,491,1315,076,0897,10
69119,161779,123398,161779,123398,34217,257197,1184,0695,17625345,17625345,492,133,0752,09,10
69347,16299,123142,16299,123142,341028,25891,1397,0698,17683485,17683485,493,1317,0759,0903,10
70288,16297,122314,16297,122314,343541,260503,1083,0707,17923440,17923440,494,1319,0758,0915,10
68896,162754,122509,162754,122509,342195,256348,3985,0693,17568480,17568480,495,1335,0749,0897,10
68678,162628,122332,162628,122332,341934,255732,424,0691,17512890,17512890,496,1337,0748,0894,10
72973,160511,1205,160511,1205,350442,265129,0244,0734,18608115,18608115,497,1322,0757,095,9
72844,160445,120587,160445,120587,350163,264871,0233,0733,18575220,18575220,498,1322,0756,0948,9
73807,160838,120584,160838,120584,352768,26639,0247,0742,18820785,18820785,499,1324,0755,0961,9
71390,159896,120896,159896,120896,345872,262804,0053,0718,18204450,18204450,500,1316,076,093,9
73240,160654,120297,160654,120297,351327,265428,0281,0737,18676200,18676200,501,1324,0756,0954,9
73287,160492,120461,160492,120461,352106,265011,0226,0737,18688185,18688185,502,1329,0753,0954,9
72604,160357,120397,160357,120397,349965,264148,0185,073,18514020,18514020,503,1325,0755,0945,9
71639,160637,120382,160637,120382,346873,26296,034,0719,18267945,18267945,504,1319,0758,0933,9
70909,160498,120599,160498,120599,344736,261894,0279,0713,18081795,18081795,505,1316,076,0923,9
71256,160082,12068,160082,12068,345551,262555,0181,0717,18170280,18170280,506,1316,076,0928,9
72963,159969,120864,159969,120864,350927,264725,179996,0734,18605565,18605565,507,1326,0754,095,9
72504,159852,121006,159852,121006,349579,264075,179929,0729,18488520,18488520,508,1324,0755,0944,9
73556,159857,120695,159857,120695,352722,265519,0000313,074,18756780,18756780,509,1328,0753,0958,9
72295,161407,120774,161407,120774,348384,264217,0403,0727,18435225,18435225,510,1319,0758,0941,9
71776,160044,120967,160044,120967,34713,263267,0156,0722,18302880,18302880,511,1319,0758,0935,9
72898,159232,120718,159232,120718,349907,265261,0122,0733,18588990,18588990,512,1319,0758,0949,9
72119,161222,120203,161222,120203,347513,264234,0153,0726,18390345,18390345,513,1315,076,0939,9
71210,162244,120203,162244,120203,346214,261883,2127,0716,18158550,18158550,514,1322,0756,0927,9
73182,160437,120407,160437,120407,351637,264984,1331,0736,18661410,18661410,515,1327,0754,0953,9
73663,160513,120021,160513,120021,353162,265574,104,0741,18784065,18784065,516,133,0752,0959,9
71311,158119,120358,158119,120358,347735,261107,2192,0717,18184305,18184305,517,1332,0751,0929,9
69998,158143,120538,158143,120538,343638,259355,1708,0704,17849490,17849490,518,1325,0755,0911,9
71332,15802,120532,15802,120532,3471,261662,2164,0718,18189660,18189660,519,1327,0754,0929,9
71486,158246,120539,158246,120539,347182,262165,2163,0719,18228930,18228930,520,1324,0755,0931,9
70761,158683,121585,158683,121585,34588,260483,2228,0712,18044055,18044055,521,1328,0753,0921,9
69617,157519,119435,157519,119435,344103,257595,3934,07,17752335,17752335,522,1336,0749,0906,9
70657,157983,119986,157983,119986,344825,260895,2072,0711,18017535,18017535,523,1322,0757,092,9
72958,161195,120245,161195,120245,350571,264977,1194,0734,18604290,18604290,524,1323,0756,095,9
70762,160789,119894,160789,119894,345705,260618,2295,0712,18044310,18044310,525,1326,0754,0921,9
71614,159949,119121,159949,119121,348167,261891,2706,072,18261570,18261570,526,1329,0752,0932,9
70052,160247,120467,160247,120467,34332,259796,2392,0705,17863260,17863260,527,1322,0757,0912,9
69126,160299,119451,160299,119451,342125,257257,2758,0695,17627130,17627130,528,133,0752,09,9
69351,159794,121211,159794,121211,342269,257986,2446,0698,17684505,17684505,529,1327,0754,0903,9
69606,160792,120156,160792,120156,34337,258104,3518,0696,17749530,17749530,530,133,0752,0906,9
70243,15801,118616,15801,118616,343474,260387,2817,0707,17911965,17911965,531,1319,0758,0915,9
71939,160099,119335,160099,119335,348758,262633,1999,0724,18344445,18344445,532,1328,0753,0937,9
71624,160203,119564,160203,119564,347468,262454,2124,0714,18264120,18264120,533,1324,0755,0933,9
69484,160069,119045,160069,119045,341757,258867,2284,0699,17718420,17718420,534,132,0757,0905,9
70163,160522,120438,160522,120438,343872,25979,2703,0706,17891565,17891565,535,1324,0755,0914,9
71197,160019,11896,160019,11896,346277,261787,1969,0716,18155235,18155235,536,1323,0756,0927,9
69301,16184,122069,16184,122069,343802,25665,4238,0697,17671755,17671755,537,134,0747,0902,9
71042,160981,119048,160981,119048,346221,261259,2153,0715,18115710,18115710,538,1325,0755,0925,9
71290,159088,119302,159088,119302,346711,261801,2796,0717,18178950,18178950,539,1324,0755,0928,9
71204,161119,12028,161119,12028,347678,260758,308,0716,18157020,18157020,540,1333,075,0927,9
70929,160405,120347,160405,120347,347832,259635,3446,0714,18086895,18086895,541,134,0746,0924,9
71026,161104,12119,161104,12119,346874,260709,2974,0715,18111630,18111630,542,1331,0752,0925,9
70015,160669,120603,160669,120603,344615,258682,3211,0704,17853825,17853825,543,1332,0751,0912,9
68216,159843,119543,159843,119543,339458,255864,3812,0686,17395080,17395080,544,1327,0754,0888,9
72770,16006,122093,16006,122093,351343,263713,036,0732,18556350,18556350,545,1332,0751,0948,9
72819,159885,121332,159885,121332,350372,264622,179999,0733,18568845,18568845,546,1324,0755,0948,9
73897,159995,121403,159995,121403,354031,265764,179993,0743,18843735,18843735,547,1332,0751,0962,9
71970,160229,122676,160229,122676,349376,262282,17978,0724,18352350,18352350,548,1332,0751,0937,9
71575,160559,121128,160559,121128,346663,262884,179961,072,18251625,18251625,549,1319,0758,0932,9
69482,158565,121097,158565,121097,340162,260074,0343,0699,17717910,17717910,550,1308,0765,0905,9
72048,158838,121829,158838,121829,348019,26359,179667,0725,18372240,18372240,551,132,0757,0938,9
73931,160738,122034,160738,122034,355038,265132,0597,0744,18852405,18852405,552,1339,0747,0963,3
75535,159904,120658,159904,120658,35808,268583,179951,076,19261425,19261425,553,1333,075,0984,3
72978,16052,121266,16052,121266,351037,264697,0281,0734,18609390,18609390,554,1326,0754,095,3
73526,160726,120601,160726,120601,351603,266256,022,074,18749130,18749130,555,1321,0757,0957,3
73962,15933,120205,15933,120205,352906,266845,179888,0744,18860310,18860310,556,1323,0756,0963,3
74222,160369,121229,160369,121229,354576,266522,0215,0747,18926610,18926610,557,133,0752,0966,3
74102,160506,120268,160506,120268,353549,266864,0024,0745,18896010,18896010,558,1325,0755,0965,3
74783,160945,120159,160945,120159,355046,268181,0204,0752,19069665,19069665,559,1324,0755,0974,3
74268,160082,120403,160082,120403,353981,267136,0102,0747,18938340,18938340,560,1325,0755,0967,3
74869,159537,120157,159537,120157,354837,268648,017,0753,19091595,19091595,561,1321,0757,0975,3
73973,159207,120386,159207,120386,352918,266876,009,0744,18863115,18863115,562,1322,0756,0963,3
74165,159987,120087,159987,120087,353947,266791,179945,0746,18912075,18912075,563,1327,0754,0966,3
74695,159487,120254,159487,120254,355205,267746,179956,0751,19047225,19047225,564,1327,0754,0973,3
74003,160169,119869,160169,119869,353291,266702,0089,0744,18870765,18870765,565,1325,0755,0964,3
72637,159609,120344,159609,120344,349519,264604,0079,0731,18522435,18522435,566,1321,0757,0946,3
75362,159591,120018,159591,120018,356657,269037,007,0758,19217310,19217310,567,1326,0754,0981,3
74997,159874,12019,159874,12019,355892,268309,0109,0752,19124235,19124235,568,1326,0754,0977,3
73318,160787,119313,160787,119313,350758,266142,0402,0738,18696090,18696090,569,1318,0759,0955,3
74424,161319,120425,161319,120425,353646,26795,0644,0748,18978120,18978120,570,132,0758,0969,3
74233,16038,120223,16038,120223,353904,267068,0341,0747,18929415,18929415,571,1325,0755,0967,3
75394,160257,120155,160257,120155,356703,269117,0279,0758,19225470,19225470,572,1325,0754,0982,3
74320,160144,120421,160144,120421,354039,267279,0234,0748,18951600,18951600,573,1325,0755,0968,3
73869,159602,120346,159602,120346,352653,266701,0427,0743,18836595,18836595,574,1322,0756,0962,3
73210,159482,120533,159482,120533,350849,265681,018,0736,18668550,18668550,575,1321,0757,0953,3
72553,159362,120005,159362,120005,349126,264596,0644,073,18501015,18501015,576,1319,0758,0945,3
73396,159802,120175,159802,120175,351854,265595,0309,0738,18715980,18715980,577,1325,0755,0956,3
73663,15948,120482,15948,120482,352303,266222,0442,0741,18784065,18784065,578,1323,0756,0959,3
74439,15967,120148,15967,120148,354787,267142,0173,0749,18981945,18981945,579,1328,0753,0969,3
72864,159617,12046,159617,12046,350446,264729,0422,0733,18580320,18580320,580,1324,0755,0949,3
72239,160275,120768,160275,120768,348023,264286,0718,0727,18420945,18420945,581,1317,0759,0941,3
75437,160335,120391,160335,120391,357157,268927,0256,0759,19236435,19236435,582,1328,0753,0982,3
74577,16012,120632,16012,120632,354731,26768,051,075,19017135,19017135,583,1325,0755,0971,3
72361,160389,121844,160389,121844,349686,263473,1238,0728,18452055,18452055,584,1327,0753,0942,3
75496,160367,11997,160367,11997,357354,268989,0012,0759,19251480,19251480,585,1329,0753,0983,3
75926,159744,119897,159744,119897,358577,269599,0069,0764,19361130,19361130,586,133,0752,0989,3
76018,159752,119911,159752,119911,358828,269737,0062,0765,19384590,19384590,587,133,0752,099,3
74801,160352,119845,160352,119845,355627,267807,0017,0752,19074255,19074255,588,1328,0753,0974,3
75905,159936,119933,159936,119933,358576,269526,0027,0764,19355775,19355775,589,133,0752,0988,3
75188,159819,119947,159819,119947,356835,268282,0082,0756,19172940,19172940,590,133,0752,0979,3
75104,160033,119962,160033,119962,355787,268771,0025,0756,19151520,19151520,591,1324,0755,0978,3
74941,159765,119842,159765,119842,355719,268239,0096,0754,19109955,19109955,592,1326,0754,0976,3
75637,159935,119858,159935,119858,357553,269342,179997,0761,19287435,19287435,593,1328,0753,0985,3
75531,159625,119833,159625,119833,357481,269019,0076,076,19260405,19260405,594,1329,0753,0983,3
74223,160102,120633,160102,120633,354166,266834,179886,0747,18926865,18926865,595,1327,0753,0966,3
73671,160155,120305,160155,120305,35249,266109,179855,0741,18786105,18786105,596,1325,0755,0959,3
72643,160065,120621,160065,120621,348942,265064,179996,0731,18523965,18523965,597,1316,076,0946,3
72614,159652,122577,159652,122577,350854,263514,179488,073,18516570,18516570,598,1331,0751,0945,3
75449,160111,120723,160111,120723,357673,268583,17992,0759,19239495,19239495,599,1332,0751,0982,3
75733,159753,120616,159753,120616,358507,268966,179699,0757,19311915,19311915,600,1333,075,0986,3
75496,159707,12065,159707,12065,357954,268539,179702,0759,19251480,19251480,601,1333,075,0983,3
74495,160666,12105,160666,12105,355313,266948,0105,0749,18996225,18996225,602,1331,0751,097,3
75452,159926,120646,159926,120646,357787,268507,179806,0759,19240260,19240260,603,1333,075,0982,3
74106,159986,120519,159986,120519,353585,266852,179824,0745,18897030,18897030,604,1325,0755,0965,3
74102,159873,121288,159873,121288,354376,266241,179566,0745,18896010,18896010,605,1331,0751,0965,3
75858,160071,120288,160071,120288,358645,269306,179935,0761,19343790,19343790,606,1332,0751,0988,3
75088,160359,120537,160359,120537,356269,268351,179905,0755,19147440,19147440,607,1328,0753,0978,3
75530,160017,120555,160017,120555,357994,268629,179915,076,19260150,19260150,608,1333,075,0983,3
75391,160009,119786,160009,119786,357292,268662,179925,0761,19224705,19224705,609,133,0752,0982,3
75751,159828,12011,159828,12011,358165,269287,0002,0762,19316505,19316505,610,133,0752,0986,3
75755,159844,12006,159844,12006,358153,26931,179915,0762,19317525,19317525,611,133,0752,0986,3
75705,159807,120096,159807,120096,357979,269263,179996,0762,19304775,19304775,612,1329,0752,0986,3
75247,15987,119869,15987,119869,35668,268609,006,0757,19187985,19187985,613,1328,0753,098,3
75623,160071,119974,160071,119974,35785,269069,179963,0762,19283865,19283865,614,133,0752,0985,3
74990,15958,119921,15958,119921,356028,268182,007,0753,19122450,19122450,615,1328,0753,0976,3
75791,16045,120525,16045,120525,358598,269104,0304,0762,19326705,19326705,616,1333,075,0987,3
65746,159302,119559,159302,119559,332017,252127,0327,0661,16765230,16765230,617,1317,0759,0856,11
67200,160923,118693,160923,118693,336914,253957,0138,0676,17136000,17136000,618,1327,0754,0875,11
66294,162974,11974,162974,11974,333204,253323,179937,0667,16904970,16904970,619,1315,076,0863,11
65700,161083,120738,161083,120738,333826,250585,0317,0661,16753500,16753500,620,1332,0751,0855,11
65416,162728,120546,162728,120546,330397,252092,0452,0658,16681080,16681080,621,1311,0763,0852,11
64565,164591,118739,164591,118739,328002,250628,179667,065,16464075,16464075,622,1309,0764,0841,11
66738,159013,11734,159013,11734,33525,253463,0012,0671,17018190,17018190,623,1323,0756,0869,11
63519,163534,120921,163534,120921,328501,246194,0205,0639,16197345,16197345,624,1334,0749,0827,11
63796,162784,121319,162784,121319,328939,246938,0955,0642,16267980,16267980,625,1332,0751,0831,11
64595,163625,121838,163625,121838,32996,249257,0179,065,16471725,16471725,626,1324,0755,0841,11
63605,164429,121038,164429,121038,326725,247867,082,064,16219275,16219275,627,1318,0759,0828,11
63264,163888,120734,163888,120734,325272,24764,0708,0636,16132320,16132320,628,1313,0761,0824,11
62837,163242,120029,163242,120029,325148,246062,041,0632,16023435,16023435,629,1321,0757,0818,11
64218,164305,120397,164305,120397,326642,250319,0146,0646,16375590,16375590,630,1305,0766,0836,11
67981,162701,118898,162701,118898,337539,256433,17989,0684,17335155,17335155,631,1316,076,0885,11
65655,162839,11901,162839,11901,330736,252753,179197,066,16742025,16742025,632,1309,0764,0855,11
64441,164167,120271,164167,120271,326515,251286,179477,0648,16432455,16432455,633,1299,077,0839,11
67597,161074,122428,161074,122428,338507,254255,007,068,17237235,17237235,634,1331,0751,088,11
64293,16245,12006,16245,12006,328998,248817,0042,0647,16394715,16394715,635,1322,0756,0837,11
68972,158239,120992,158239,120992,341232,257355,179531,0694,17587860,17587860,636,1326,0754,0898,11
65843,161817,121754,161817,121754,330327,25379,025,0662,16789965,16789965,637,1302,0768,0857,11
61977,163917,121141,163917,121141,322388,244772,179997,0623,15804135,15804135,638,1317,0759,0807,11
65522,161053,122669,161053,122669,332352,251015,179806,0659,16708110,16708110,639,1324,0755,0853,11
64580,163311,118071,163311,118071,330244,248985,179641,065,16467900,16467900,640,1326,0754,0841,11
63929,162277,119914,162277,119914,328957,247439,179931,0643,16301895,16301895,641,1329,0752,0832,11
63371,164981,118373,164981,118373,326409,247194,179354,0638,16159605,16159605,642,132,0757,0825,11
65924,16146,118994,16146,118994,333356,251794,0336,0663,16810620,16810620,643,1324,0755,0858,11
67311,161012,120075,161012,120075,336878,254404,0355,0677,17164305,17164305,644,1324,0755,0876,11
64994,163145,119571,163145,119571,333147,248398,179493,0654,16573470,16573470,645,1341,0746,0846,11
64426,163338,119706,163338,119706,3282,249938,0686,0648,16428630,16428630,646,1313,0762,0839,11
66091,162801,120051,162801,120051,332057,253419,0652,0665,16853205,16853205,647,131,0763,0861,11
63236,164103,120867,164103,120867,323603,248807,0546,0636,16125180,16125180,648,1301,0769,0823,11
62764,162864,119475,162864,119475,324861,245993,179901,0631,16004820,16004820,649,1321,0757,0817,11
62174,163463,119914,163463,119914,323087,245019,0194,0625,15854370,15854370,650,1319,0758,081,11
63383,164092,12155,164092,12155,32393,249133,076,0638,16162665,16162665,651,13,0769,0825,11
63065,159942,122605,159942,122605,32838,244524,0868,0634,16081575,16081575,652,1343,0745,0821,11
64792,160279,122264,160279,122264,330895,249311,015,0652,16521960,16521960,653,1327,0753,0844,11
65218,16207,123361,16207,123361,332491,249745,0106,0656,16630590,16630590,654,1331,0751,0849,11
64292,162893,122616,162893,122616,331194,247164,3111,0647,16394460,16394460,655,134,0746,0837,11
63932,16058,120818,16058,120818,330488,246304,336,0643,16302660,16302660,656,1342,0745,0832,11
61870,157674,121206,157674,121206,327291,240689,442,0622,15776850,15776850,657,136,0735,0806,11
62285,161715,122422,161715,122422,325974,243282,4102,0627,15882675,15882675,658,134,0746,0811,11
65351,158786,120987,158786,120987,336651,247162,1998,0657,16664505,16664505,659,1362,0734,0851,11
64881,160038,123429,160038,123429,332345,248564,2979,0653,16544655,16544655,660,1337,0748,0845,11
65051,158855,122364,158855,122364,331884,249561,227,0654,16588005,16588005,661,133,0752,0847,11
63736,158576,122366,158576,122366,330888,245252,3935,0641,16252680,16252680,662,1349,0741,083,11
63984,163075,12111,163075,12111,330294,24665,4783,0644,16315920,16315920,663,1339,0747,0833,11
67605,15854,120865,15854,120865,337034,255397,0073,068,17239275,17239275,664,132,0758,088,11
66776,160312,119091,160312,119091,335478,253435,0197,0672,17027880,17027880,665,1324,0755,0869,11
64552,161197,12337,161197,12337,331692,247791,0144,0649,16460760,16460760,666,1339,0747,0841,11
69706,155585,122439,155585,122439,342116,259422,178206,0701,17775030,17775030,667,1319,0758,0908,12
70503,157377,120739,157377,120739,343208,261554,179762,0709,17978265,17978265,668,1312,0762,0918,12
69350,156539,122177,156539,122177,339269,260263,178885,0698,17684250,17684250,669,1304,0767,0903,12
68925,156781,121389,156781,121389,338989,258881,179493,0693,17575875,17575875,670,1309,0764,0897,12
68771,157044,123096,157044,123096,339031,258271,178429,0692,17536605,17536605,671,1313,0762,0895,12
69791,157653,121723,157653,121723,341397,260285,179195,0702,17796705,17796705,672,1312,0762,0909,12
68293,156409,121651,156409,121651,336942,258066,179157,0687,17414715,17414715,673,1306,0766,0889,12
66606,156555,121082,156555,121082,332496,255057,179259,067,16984530,16984530,674,1304,0767,0867,12
68830,158731,121966,158731,121966,340201,257604,17951,0692,17551650,17551650,675,1321,0757,0896,12
69248,157253,122409,157253,122409,340786,258723,178969,0697,17658240,17658240,676,1317,0759,0902,12
66572,157813,121324,157813,121324,333815,25392,179873,067,16975860,16975860,677,1315,0761,0867,12
69182,156773,120853,156773,120853,338711,26006,179347,0696,17641410,17641410,678,1302,0768,0901,12
66703,155866,122519,155866,122519,334805,253667,178462,0671,17009265,17009265,679,132,0758,0869,12
68932,157014,122,157014,122,338793,259058,1783,0693,17577660,17577660,680,1308,0765,0898,12
68497,157662,121961,157662,121961,339236,257087,178879,0689,17466735,17466735,681,132,0758,0892,12
66992,156723,121619,156723,121619,333655,255644,179408,0674,17082960,17082960,682,1305,0766,0872,12
67823,156261,121873,156261,121873,335601,257314,178761,0682,17294865,17294865,683,1304,0767,0883,12
67881,156447,123497,156447,123497,337096,256393,177891,0683,17309655,17309655,684,1315,0761,0884,12
70102,156445,122029,156445,122029,342687,260461,17885,0705,17876010,17876010,685,1316,076,0913,12
69762,157312,119807,157312,119807,340749,260672,1797,0702,17789310,17789310,686,1307,0765,0908,12
67049,156591,120523,156591,120523,333594,255908,179587,0675,17097495,17097495,687,1304,0767,0873,12
68082,156985,120034,156985,120034,337913,256529,179694,0685,17360910,17360910,688,1317,0759,0886,12
68668,156367,122584,156367,122584,338615,258202,178788,0691,17510340,17510340,689,1311,0763,0894,12
68280,158908,121217,158908,121217,33883,256579,179583,0687,17411400,17411400,690,1321,0757,0889,12
69224,156991,121918,156991,121918,339844,259351,179144,0696,17652120,17652120,691,131,0763,0901,12
67927,15629,121789,15629,121789,336502,257019,179,0683,17321385,17321385,692,1309,0764,0884,12
66910,156553,12143,156553,12143,332857,255943,179672,0673,17062050,17062050,693,1301,0769,0871,12
67912,156899,121329,156899,121329,335953,257382,17943,0683,17317560,17317560,694,1305,0766,0884,12
68741,157301,122129,157301,122129,33889,258266,179169,0692,17528955,17528955,695,1312,0762,0895,12
68527,157361,120955,157361,120955,337112,25882,179604,0689,17474385,17474385,696,1302,0768,0892,12
68651,156074,121274,156074,121274,336868,259476,179294,0691,17506005,17506005,697,1298,077,0894,12
68646,156655,12304,156655,12304,33872,258038,179025,0691,17504730,17504730,698,1313,0762,0894,12
67296,155351,12244,155351,12244,333821,256676,178405,0677,17160480,17160480,699,1301,0769,0876,12
69223,158292,121431,158292,121431,341265,258267,179476,0696,17651865,17651865,700,1321,0757,0901,12
68236,157022,120552,157022,120552,33739,257508,179537,0686,17400180,17400180,701,131,0763,0888,12
66178,156265,125055,156265,125055,333758,25246,17815,0666,16875390,16875390,702,1322,0756,0862,12
69305,157219,120506,157219,120506,339319,260056,179574,0697,17672775,17672775,703,1305,0766,0902,12
66901,155525,123546,155525,123546,334734,254474,177605,0673,17059755,17059755,704,1315,076,0871,12
68442,15867,121965,15867,121965,339247,256872,179318,0689,17452710,17452710,705,1321,0757,0891,12
69511,157714,122042,157714,122042,341132,259442,179358,0699,17725305,17725305,706,1315,0761,0905,12
66722,155509,124442,155509,124442,335301,253364,177948,0671,17014110,17014110,707,1323,0756,0869,12
69282,157758,121713,157758,121713,340682,258929,179631,0697,17666910,17666910,708,1316,076,0902,12
68708,156016,122544,156016,122544,338101,258745,178781,0691,17520540,17520540,709,1307,0765,0895,12
70126,158077,122656,158077,122656,344283,259343,179234,0705,17882130,17882130,710,1328,0753,0913,12
67987,157993,122623,157993,122623,339027,25533,179191,0684,17336685,17336685,711,1328,0753,0885,12
70085,157551,122133,157551,122133,342918,260222,178498,0704,17871675,17871675,712,1318,0759,0913,12
69447,158305,121797,158305,121797,341535,258898,179183,0699,17708985,17708985,713,1319,0758,0904,12
68455,157812,121855,157812,121855,338351,257601,179673,0689,17456025,17456025,714,1313,0761,0891,12
69113,156761,12209,156761,12209,339254,259385,178159,0695,17623815,17623815,715,1308,0765,09,12
68975,156495,122101,156495,122101,338613,259357,178627,0694,17588625,17588625,716,1306,0766,0898,12
68596,156719,121894,156719,121894,338289,258179,178519,069,17491980,17491980,717,131,0763,0893,12
64779,155335,120757,155335,120757,327953,251497,179295,0652,16518645,16518645,718,1304,0767,0843,12
69674,156987,119947,156987,119947,340171,260786,0089,0701,17766870,17766870,719,1304,0767,0907,12
68199,157103,122756,157103,122756,339179,256011,178605,0686,17390745,17390745,720,1325,0755,0888,12
68488,156955,122309,156955,122309,337887,258079,1792,0689,17464440,17464440,721,1309,0764,0892,12
68907,156314,118229,156314,118229,340612,257581,3398,0693,17571285,17571285,722,1322,0756,0897,12
65414,15557,121573,15557,121573,333543,249706,3978,0658,16680570,16680570,723,1336,0749,0852,12
66178,154634,119158,154634,119158,334751,251711,5291,0666,16875390,16875390,724,133,0752,0862,12
65335,154816,12057,154816,12057,331724,250772,4343,0657,16660425,16660425,725,1323,0756,0851,12
67599,155621,120523,155621,120523,337296,255176,3569,068,17237745,17237745,726,1322,0757,088,12
68361,155258,119816,155258,119816,339293,256534,328,0688,17432055,17432055,727,1323,0756,089,12
68171,155589,120224,155589,120224,338524,256401,2986,0686,17383605,17383605,728,132,0757,0888,12
65693,155864,11899,155864,11899,334112,250344,461,0661,16751715,16751715,729,1335,0749,0855,12
68501,162515,122385,162515,122385,339598,256828,0802,0689,17467755,17467755,730,1322,0756,0892,13
67307,161946,121178,161946,121178,337056,254254,0346,0677,17163285,17163285,731,1326,0754,0876,13
66826,162322,12026,162322,12026,33487,254085,0264,0672,17040630,17040630,732,1318,0759,087,13
67606,161614,122047,161614,122047,338022,254654,0405,068,17239530,17239530,733,1327,0753,088,13
67210,162826,12119,162826,12119,334713,255665,062,0676,17138550,17138550,734,1309,0764,0875,13
66099,164217,120115,164217,120115,332344,253231,0184,0665,16855245,16855245,735,1312,0762,0861,13
65511,164291,11957,164291,11957,330002,25276,0186,0659,16705305,16705305,736,1306,0766,0853,13
64593,16418,121738,16418,121738,327731,250945,0664,065,16471215,16471215,737,1306,0766,0841,13
62900,162895,120391,162895,120391,323462,247593,179504,0633,16039500,16039500,738,1306,0765,0819,13
67109,162581,120395,162581,120395,334617,255354,0574,0675,17112795,17112795,739,131,0763,0874,13
67313,162965,120311,162965,120311,336115,254989,0643,0677,17164815,17164815,740,1318,0759,0876,13
67431,162706,121578,162706,121578,336553,255103,0704,0678,17194905,17194905,741,1319,0758,0878,13
65854,16271,122086,16271,122086,331829,252684,0548,0662,16792770,16792770,742,1313,0761,0857,13
65629,16248,121884,16248,121884,330534,252808,0692,066,16735395,16735395,743,1307,0765,0855,13
67426,162043,120742,162043,120742,335055,256225,0576,0678,17193630,17193630,744,1308,0765,0878,13
66436,162185,121867,162185,121867,332981,254035,0685,0668,16941180,16941180,745,1311,0763,0865,13
66413,163372,122287,163372,122287,33244,254361,1052,0668,16935315,16935315,746,1307,0765,0865,13
64723,165119,121014,165119,121014,328398,250939,0866,0651,16504365,16504365,747,1309,0764,0843,13
68626,16395,12041,16395,12041,338118,258423,0339,069,17499630,17499630,748,1308,0764,0894,13
68821,162562,121582,162562,121582,338441,258909,179619,0692,17549355,17549355,749,1307,0765,0896,13
69176,162327,120211,162327,120211,339977,25907,17943,0696,17639880,17639880,750,1312,0762,0901,13
66029,165619,121072,165619,121072,331743,253421,082,0664,16837395,16837395,751,1309,0764,086,13
67032,163927,120949,163927,120949,334928,254824,3077,067,17093160,17093160,752,1314,0761,0873,13
68233,162275,120375,162275,120375,339107,256193,2893,0686,17399415,17399415,753,1324,0755,0888,13
67673,162632,120441,162632,120441,337547,255265,3037,0681,17256615,17256615,754,1322,0756,0881,13
67673,162632,120441,162632,120441,337547,255265,3037,0681,17256615,17256615,755,1322,0756,0881,13
67582,163721,120248,163721,120248,337656,254839,3111,068,17233410,17233410,756,1325,0755,088,13
65421,164053,121683,164053,121683,334298,249169,4475,0658,16682355,16682355,757,1342,0745,0852,13
67038,164013,121262,164013,121262,337141,253175,4585,0674,17094690,17094690,758,1332,0751,0873,13
65897,164665,121839,164665,121839,33509,250389,6143,0663,16803735,16803735,759,1338,0747,0858,13
67861,16345,12007,16345,12007,338195,255484,2275,0683,17304555,17304555,760,1324,0755,0884,13
